食品名,エネルギー,水分,たんぱく質,脂質,炭水化物,ナトリウム,カリウム,カルシウム,マグネシウム,リン,鉄,亜鉛,銅,マンガン,ヨウ素,セレン,クロム,モリブデン,ビタミンA,ビタミンD,ビタミンE,ビタミンK,ビタミンB1,ビタミンB2,ナイアシン当量,ビタミンB6,ビタミンB12,葉酸,パントテン酸,ビオチン,ビタミンC,アルコール,食塩相当量
和生菓子・和半生菓子類五平もち,178,54.7,3,0.5,40.9,240,58,10,9,41,0.4,0.6,0.1,0.29,0,1,0,25,0,0,0,1,0.02,0.02,1,0.02,0,5,0.21,0.4,0,0,0.6
和生菓子・和半生菓子類桜もち関西風こしあん入り,196,50,3.5,0.3,46,33,22,18,8,27,0.7,0.5,0.09,0.32,0,0,0,14,0,0,0,2,0.01,0.01,0.8,0.01,0,1,0.05,0.6,0,0,0.1
和生菓子・和半生菓子類桜もち関西風つぶしあん入り,197,50,3,0.3,46.5,26,43,5,7,25,0.4,0.6,0.1,0.33,0,0,0,9,0,0,0,1,0.01,0.01,0.6,0.02,0,3,0.1,0.3,0,0,0.1
和生菓子・和半生菓子類桜もち関東風こしあん入り,235,40.5,4.5,0.4,54.2,45,37,26,11,37,1,0.4,0.09,0.31,0,1,1,22,0,0,0,2,0.02,0.02,1,0,0,2,0.1,1,0,0,0.1
和生菓子・和半生菓子類桜もち関東風つぶしあん入り,237,40.5,4.2,0.6,54.4,44,82,12,11,41,0.7,0.3,0.09,0.26,0,1,1,21,0,0,0.1,2,0.04,0.02,0.9,0.02,0,5,0.2,0.9,0,0,0.1
和生菓子・和半生菓子類笹だんごこしあん入り,227,40.5,4,0.5,54.6,18,88,15,15,50,0.5,0.7,0.14,0.51,0,1,0,28,34,0,0.3,26,0.06,0.02,1.2,0.05,0,10,0.25,0.7,0,0,0
和生菓子・和半生菓子類笹だんごつぶしあん入り,228,40.5,4.7,0.6,53.8,32,91,17,17,61,0.7,0.8,0.16,0.57,0,1,1,33,33,0,0.3,27,0.05,0.02,1.3,0.04,0,10,0.26,0.8,0,0,0.1
和生菓子・和半生菓子類ずんだあん,190,52.7,6.3,3.4,36.6,87,270,42,40,94,1.4,0.7,0.2,0.41,0,0,0,0,13,0,0.3,18,0.13,0.07,1.6,0.04,0,140,0.25,0,8,0,0.2
和生菓子・和半生菓子類ずんだもち,212,47.8,4.9,1.7,45.1,35,130,19,19,51,0.6,0.8,0.16,0.51,0,1,0,34,5,0,0.2,7,0.07,0.03,1.2,0.03,0,60,0.31,0.4,3,0,0.1
和生菓子・和半生菓子類大福もちこしあん入り,223,41.5,4.6,0.5,53.2,33,33,18,10,32,0.7,0.8,0.13,0.51,0,1,0,46,0,0,0,2,0.02,0.01,1.1,0.02,0,3,0.22,0.9,0,0,0.1
