食品名,エネルギー,水分,たんぱく質,脂質,炭水化物,ナトリウム,カリウム,カルシウム,マグネシウム,リン,鉄,亜鉛,銅,マンガン,ヨウ素,セレン,クロム,モリブデン,ビタミンA,ビタミンD,ビタミンE,ビタミンK,ビタミンB1,ビタミンB2,ナイアシン当量,ビタミンB6,ビタミンB12,葉酸,パントテン酸,ビオチン,ビタミンC,アルコール,食塩相当量
だいず豆腐・油揚げ類木綿豆腐凝固剤：塩化マグネシウム,73,85.9,7,4.9,1.5,21,110,40,76,88,1.5,0.6,0.16,0.41,6,4,4,44,0,0,0.2,6,0.09,0.04,1.9,0.05,0,12,0.02,4.1,0,0,0.1
だいず豆腐・油揚げ類木綿豆腐凝固剤：硫酸カルシウム,73,85.9,7,4.9,1.5,3,110,150,34,88,1.5,0.6,0.16,0.41,6,4,4,44,0,0,0.2,6,0.09,0.04,1.9,0.05,0,12,0.02,4.1,0,0,0
だいず豆腐・油揚げ類絹ごし豆腐,56,88.5,5.3,3.5,2,11,150,75,50,68,1.2,0.5,0.16,0.34,1,1,1,69,0,0,0.1,9,0.11,0.04,1.6,0.06,0,12,0.09,3.5,0,0,0
だいず豆腐・油揚げ類絹ごし豆腐凝固剤：塩化マグネシウム,56,88.5,5.3,3.5,2,19,150,30,63,68,1.2,0.5,0.16,0.34,1,1,1,69,0,0,0.1,9,0.11,0.04,1.6,0.06,0,12,0.09,3.5,0,0,0
だいず豆腐・油揚げ類絹ごし豆腐凝固剤：硫酸カルシウム,56,88.5,5.3,3.5,2,7,150,120,33,68,1.2,0.5,0.16,0.34,1,1,1,69,0,0,0.1,9,0.11,0.04,1.6,0.06,0,12,0.09,3.5,0,0,0
だいず豆腐・油揚げ類ソフト豆腐,56,88.9,5.1,3.3,2,7,150,91,32,82,0.7,0.5,0.16,0.33,0,0,0,0,0,0,0.1,10,0.07,0.03,1.4,0.07,0,10,0.1,0,0,0,0
だいず豆腐・油揚げ類充てん豆腐,56,88.6,5,3.1,2.5,10,200,31,68,83,0.8,0.6,0.18,0.43,0,0,0,0,0,0,0.3,11,0.15,0.05,1.6,0.09,0,23,0.12,0,0,0,0
だいず豆腐・油揚げ類沖縄豆腐,99,81.8,9.1,7.2,0.7,170,180,120,66,130,1.7,1,0.19,0.93,0,0,0,0,0,0,0.4,16,0.1,0.04,2.5,0.06,0,14,0,0,0,0,0.4
だいず豆腐・油揚げ類ゆし豆腐,47,90,4.3,2.8,1.7,240,210,36,43,71,0.7,0.5,0.14,0.3,0,0,0,0,0,0,0.1,9,0.1,0.04,1.3,0.07,0,13,0.2,0,0,0,0.6
だいず豆腐・油揚げ類焼き豆腐,82,84.8,7.8,5.7,1,4,90,150,37,110,1.6,0.8,0.16,0.6,0,0,0,0,0,0,0.2,14,0.07,0.03,2.2,0.05,0,12,0.06,0,0,0,0
だいず豆腐・油揚げ類生揚げ,143,75.9,10.7,11.3,0.9,3,120,240,51,150,2.6,1.1,0.23,0.78,1,2,2,87,0,0,0.8,26,0.07,0.03,2.8,0.08,0,28,0.15,5.5,0,0,0
だいず豆腐・油揚げ類絹生揚げ,103,80.5,7.9,7.7,2.9,17,260,34,120,130,1.2,0.8,0.23,0.48,1,4,2,69,0,0,0.7,11,0.12,0.04,2.4,0.09,0,16,0.13,6.2,0,0,0
だいず豆腐・油揚げ類油揚げ生,377,39.9,23.4,34.4,0.4,4,86,310,150,350,3.2,2.5,0.22,1.55,1,8,5,97,0,0,1.3,67,0.06,0.04,6.2,0.07,0,18,0.07,7.1,0,0,0
だいず豆腐・油揚げ類油揚げ油抜き生,266,56.9,18.2,23.4,0,2,51,230,110,280,2.5,2.1,0.16,1.22,0,6,4,68,0,0,0.9,48,0.04,0.02,4.8,0.04,0,12,0.04,4.8,0,0,0
だいず豆腐・油揚げ類油揚げ油抜きゆで,164,72.6,12.4,13.8,0.3,0,12,140,59,180,1.6,1.4,0.07,0.73,0,4,3,22,0,0,0.5,26,0.01,0.01,3.2,0.01,0,3,0.02,3.3,0,0,0
だいず豆腐・油揚げ類油揚げ油抜き焼き,361,40.2,24.9,32.2,0.7,4,74,320,150,380,3.4,2.7,0.22,1.65,0,8,6,92,0,0,1.1,65,0.04,0.03,6.6,0.06,0,14,0.04,6.8,0,0,0
だいず豆腐・油揚げ類油揚げ甘煮,231,54.9,11.2,13,19.1,460,61,120,51,150,1.5,1.1,0.08,0.16,0,3,3,25,0,0,0.6,22,0.01,0.02,2.6,0.02,0,3,0.03,3.7,0,0,1.2
だいず豆腐・油揚げ類がんもどき,223,63.5,15.3,17.8,1.6,190,80,270,98,200,3.6,1.6,0.22,1.3,32,4,8,60,0,0,1.5,43,0.03,0.04,4,0.08,0,21,0.2,7.6,0,0,0.5
だいず豆腐・油揚げ類凍り豆腐乾,496,7.2,50.5,34.1,4.2,440,34,630,140,820,7.5,5.2,0.57,4.32,1,19,5,67,1,0,1.9,60,0.02,0.02,13,0.02,0.1,6,0.1,21,0,0,1.1
だいず豆腐・油揚げ類凍り豆腐水煮,104,79.6,10.7,7.3,1.1,260,3,150,29,180,1.7,1.2,0.09,1.02,0,5,1,3,0,0,0.3,13,0,0,2.7,0,0,0,0.02,3.1,0,0,0.7
だいず豆腐・油揚げ類豆腐よう,183,60.6,9.5,8.3,19.1,760,38,160,52,190,1.7,1.7,0.22,1.7,1,4,3,45,0,0,0.6,18,0.02,0.07,2.8,0.05,0,7,0.4,4.2,0,0,1.9
だいず豆腐・油揚げ類豆腐竹輪蒸し,121,71.6,14.9,4.4,6.7,740,140,70,65,150,2,1,0.13,0.58,63,14,4,43,3,0,0.4,12,0.12,0.08,3.7,0.04,0.6,11,0.17,4.2,0,0,1.9
だいず豆腐・油揚げ類豆腐竹輪焼き,133,68.8,16.1,4.9,7.5,900,150,100,73,170,2.3,1,0.14,0.61,0,0,0,0,0,0,0.4,10,0.13,0.08,3.8,0.04,0.8,17,0.21,0,0,0,2.3
だいず豆腐・油揚げ類ろくじょう豆腐,332,26.5,34.7,21.5,3.8,4300,430,660,110,590,6.1,4.6,0.73,3.83,0,0,0,0,0,0,2.5,41,0.1,0.06,9.1,0.11,0,23,0.14,0,0,0,11
だいず納豆類糸引き納豆,184,59.5,16.5,10,12.1,1,690,91,100,220,3.3,1.9,0.6,1.39,0,16,1,290,0,0,0.5,870,0.13,0.3,4.6,0.24,0,130,3.63,18.2,3,0,0
だいず納豆類挽きわり納豆,185,60.9,16.6,10,10.5,2,700,59,88,250,2.6,1.3,0.43,1,0,0,0,0,0,0,0.8,930,0.14,0.36,5,0.29,0,110,4.28,0,0,0,0
だいず納豆類五斗納豆,214,45.8,15.3,8.1,24,2300,430,49,61,190,2.2,1.1,0.31,0.75,1,8,2,75,0,0,0.6,590,0.08,0.35,3.7,0.19,0,110,2.9,15,0,0,5.8
だいず納豆類塩納豆,137,64,8.3,4.4,20.2,860,410,48,61,150,1.3,1,0.25,0.72,1800,1,1,73,0,0,0.5,220,0.06,0.11,2.6,0.13,0,36,1.3,8.7,0,0,2.2
だいず納豆類寺納豆,248,24.4,18.6,8.1,31.5,5600,1000,110,140,330,5.9,3.8,0.8,1.7,1,14,2,110,0,0,0.9,190,0.04,0.35,7.2,0.17,0,39,0.81,19,0,0,14.2
だいず納豆類干し納豆,357,12,33,16.8,29.3,2000,1600,190,200,570,5.8,3.4,1.03,2.31,5,5,2,300,1,0,2.6,300,0.11,0.22,9.4,0.32,0,150,2.64,31.2,0,0,5.1
だいずその他おから生,88,75.5,6.1,3.6,13.8,5,350,81,40,99,1.3,0.6,0.14,0.4,1,1,1,45,0,0,0.4,8,0.11,0.03,1.6,0.06,0,14,0.31,4.1,0,0,0
だいずその他おから乾燥,333,7.1,23.1,13.6,52.3,19,1300,310,150,380,4.9,2.3,0.53,1.52,4,4,4,170,0,0,1.5,30,0.42,0.11,5.9,0.23,0,53,1.18,16,0,0,0
だいずその他豆乳豆乳,43,90.8,3.6,2.8,2.3,2,190,15,25,49,1.2,0.3,0.12,0.23,0,1,0,54,0,0,0.1,4,0.03,0.02,1.4,0.06,0,28,0.28,3.8,0,0,0
だいずその他豆乳調製豆乳,61,87.9,3.2,3.6,4.8,50,170,31,19,44,1.2,0.4,0.12,0.23,0,1,0,32,0,0,2.2,6,0.07,0.02,1,0.05,0,31,0.24,3.6,0,0,0.1
だいずその他豆乳豆乳飲料・麦芽コーヒー,57,87.4,2.2,2.2,7.8,42,110,20,13,36,0.3,0.2,0.07,0.13,0,1,1,31,0,0,0.3,3,0.02,0.02,0.9,0.03,0,15,0.12,0,0,0,0.1
だいずその他大豆たんぱく粒状大豆たんぱく,318,7.8,46.3,3,36.7,3,2400,270,290,730,7.7,4.5,1.41,2.61,0,0,0,0,0,0,0,1,0.67,0.3,13,0.64,0,370,1.89,0,0,0,0
だいずその他大豆たんぱく濃縮大豆たんぱく,313,6.8,58.2,1.7,27.9,550,1300,280,220,750,9.2,3.1,0.99,2,0,0,0,0,0,0,0,0,0.37,0.11,15,0.16,0,210,0.4,0,0,0,1.4
だいずその他大豆たんぱく分離大豆たんぱく塩分無調整タイプ,335,5.9,79.1,3,7.5,1300,190,57,58,840,9.4,2.9,1.51,0.89,0,0,0,0,0,0,0,0,0.11,0.14,20,0.06,0,270,0.37,0,0,0,3.3
だいずその他大豆たんぱく分離大豆たんぱく塩分調整タイプ,335,5.9,79.1,3,7.5,640,260,890,58,840,9.4,2.9,1.51,0.89,0,0,0,0,0,0,0,0,0.11,0.14,20,0.06,0,270,0.37,0,0,0,1.6
だいずその他大豆たんぱく繊維状大豆たんぱく,365,5.8,59.3,5,25.2,1400,270,70,55,630,8.2,2.4,1.13,1.02,0,0,0,0,0,0,0.3,2,0.62,0.16,15,0.08,0,170,0.34,0,0,0,3.6
だいずその他湯葉生,218,59.1,21.8,13.7,4.1,4,290,90,80,250,3.6,2.2,0.7,0,1,3,1,100,1,0,0.9,22,0.17,0.09,5.4,0.13,0,25,0.34,14,0,0,0
だいずその他湯葉干し乾,485,6.9,50.4,32.1,7.2,12,840,210,220,600,8.3,4.9,3.27,3.43,3,7,4,270,1,0,2.4,55,0.35,0.12,13,0.32,0,38,0.55,37,0,0,0
だいずその他湯葉干し湯戻し,151,72.8,15.7,10.6,0.1,2,140,66,60,170,2.6,1.6,0.57,1.09,0,2,1,14,0,0,0.7,16,0.05,0.01,3.7,0.03,0,3,0.12,11,0,0,0
だいずその他金山寺みそ,247,34.3,6.9,3.2,50,2000,190,33,54,130,1.7,0.7,0.16,0.96,1,1,1,34,0,0,0,16,0.12,0.18,3.2,0.1,0,34,0.74,8.1,0,0,5.1
だいずその他ひしおみそ,198,46.3,6.5,2.7,38.8,1900,340,56,56,120,1.9,0.9,0.32,0.52,1,2,4,37,0,0,0.6,17,0.11,0.27,3.4,0.08,0,12,0.36,7.1,0,0,4.8
だいずその他テンペ,180,57.8,15.8,9,15.4,2,730,70,95,250,2.4,1.7,0.52,0.8,1,3,1,76,0,0,0.8,11,0.07,0.09,4.9,0.23,0,49,1.08,20,0,0,0
つるあずき全粒乾,297,12,20.8,1.6,61.8,1,1400,280,230,320,11,3.1,0.73,2.92,0,3,4,220,2,0,0.1,50,0.5,0.13,5.9,0.28,0,210,0.75,9.7,3,0,0
つるあずき全粒ゆで,132,60.5,9.7,1,27.5,0,370,130,77,120,3.3,1.2,0.3,0.57,0,0,0,0,1,0,0.1,24,0.16,0.04,2.3,0.06,0,48,0.14,0,0,0,0
ひよこまめ全粒乾,336,10.4,20,5.2,61.5,17,1200,100,140,270,2.6,3.2,0.84,0,1,11,1,150,2,0,2.5,9,0.37,0.15,4.8,0.64,0,350,1.77,21,0,0,0
ひよこまめ全粒ゆで,149,59.6,9.5,2.5,27.4,5,350,45,51,120,1.2,1.8,0.29,1.1,0,5,1,56,1,0,1.7,6,0.16,0.07,1.9,0.18,0,110,0.48,8.9,0,0,0
ひよこまめ全粒フライ味付け,366,4.6,18.8,10.4,62.6,700,690,73,110,370,4.2,2.7,0.78,2.2,0,0,0,0,0,0,1.9,23,0.21,0.1,3.8,0.5,0,100,0.35,0,0,0,1.8
べにばないんげん全粒乾,273,15.4,17.2,1.7,61.2,1,1700,78,190,430,5.4,3.4,0.74,1.5,0,1,2,41,0,0,0.1,8,0.67,0.15,5.7,0.51,0,140,0.81,8.4,0,0,0
べにばないんげん全粒ゆで,103,69.7,6.2,0.6,22.3,1,440,28,50,140,1.6,0.8,0.17,0.58,0,0,1,21,0,0,0,3,0.14,0.05,1.6,0.11,0,23,0.18,3,0,0,0
やぶまめ乾,383,13.1,23.4,10.1,49.5,5,1700,55,63,230,2.4,1.4,0.31,1.03,0,1,0,460,0,0,0,0,0,0,3.9,0,0,0,0,0,0,0,0
らいまめ全粒乾,306,11.7,21.9,1.8,60.8,0,1800,78,170,250,6.2,2.9,0.7,1.85,0,17,3,380,0,0,0.1,6,0.47,0.16,5.7,0.4,0,120,1.05,9.2,0,0,0
らいまめ全粒ゆで,122,62.3,9.6,0.9,26,0,490,27,52,95,2.3,1.1,0.25,0.73,0,0,0,0,0,0,0,3,0.1,0.04,2.2,0.08,0,25,0.23,0,0,0,0
りょくとう全粒乾,319,10.8,25.1,1.5,59.1,0,1300,100,150,320,5.9,4,0.91,0,0,2,3,410,13,0,0.3,36,0.7,0.22,6.2,0.52,0,460,1.66,11,0,0,0
りょくとう全粒ゆで,125,66,10.2,0.6,22.5,1,320,32,39,75,2.2,0.8,0.21,0.31,0,1,1,140,7,0,0.2,16,0.19,0.06,2.1,0.05,0,80,0.34,3.3,0,0,0
レンズまめ全粒乾,313,12,23.2,1.5,60.7,0,1000,57,100,430,9,4.8,0.95,1.57,0,54,2,180,3,0,0.8,17,0.52,0.17,5.3,0.55,0,77,1.58,23,1,0,0
レンズまめ全粒ゆで,149,57.9,11.2,0.8,29.1,0,330,27,44,190,4.3,2.5,0.44,0.81,0,0,0,0,1,0,0.4,9,0.2,0.06,2.1,0.16,0,22,0.57,0,0,0,0
アーモンド乾,609,4.7,19.6,51.8,20.9,1,760,250,290,460,3.6,3.6,1.17,2.45,0,0,0,0,1,0,30,0,0.2,1.06,7.2,0.09,0,65,0.49,0,0,0,0
アーモンドフライ味付け,626,1.8,21.3,55.7,17.9,100,760,240,270,490,3.5,3.1,0.87,2.24,0,1,6,32,1,0,22,0,0.05,1.07,8,0.1,0,49,0.5,60,0,0,0.3
アーモンドいり無塩,608,1.8,20.3,54.1,20.7,0,740,260,310,480,3.7,3.7,1.19,2.46,0,0,0,0,1,0,29,0,0.03,1.04,7.5,0.08,0,48,0.26,0,0,0,0
あさ乾,450,4.6,29.9,28.3,31.7,2,340,130,400,1100,13,6.1,1.32,9.97,0,4,9,45,2,0,1.8,51,0.35,0.19,8.2,0.4,0,82,0.57,28,0,0,0
あまにいり,540,0.8,21.8,43.3,30.4,70,760,210,410,710,9,6.1,1.26,2.97,0,3,25,13,1,0,0.4,7,0.01,0.17,9.4,0.4,0,45,0.24,33,0,0,0.2
えごま乾,523,5.6,17.7,43.4,29.4,2,590,390,230,550,16,3.8,1.93,3.09,0,3,2,48,2,0,1.3,1,0.54,0.29,12,0.55,0,59,1.65,35,0,0,0
カシューナッツフライ味付け,591,3.2,19.8,47.6,26.7,220,590,38,240,490,4.8,5.4,1.89,0,0,27,1,30,1,0,0.6,28,0.54,0.18,7,0.36,0,63,1.32,19,0,0,0.6
かぼちゃいり味付け,590,4.5,26.5,51.8,12,47,840,44,530,1100,6.5,7.7,1.26,4.39,0,5,13,42,3,0,0.6,2,0.21,0.19,13,0.16,0,79,0.65,13,0,0,0.1
かやいり,629,1.2,8.7,64.9,22.6,6,470,58,200,300,3.3,3.7,0.92,2.62,0,0,0,0,6,0,8.5,3,0.02,0.04,3,0.17,0,55,0.62,0,2,0,0
ぎんなん生,168,57.4,4.7,1.6,34.8,0,710,5,48,120,1,0.4,0.25,0.26,2,0,0,3,24,0,2.5,3,0.28,0.08,2.5,0.07,0,45,1.27,6.2,23,0,0
ぎんなんゆで,169,56.9,4.6,1.5,35.8,1,580,5,45,96,1.2,0.4,0.23,0.25,0,1,5,0,24,0,1.6,3,0.26,0.07,2.3,0.02,0,38,1.02,2.8,23,0,0
くり類日本ぐり生,147,58.8,2.8,0.5,36.9,1,420,23,40,70,0.8,0.5,0.32,3.27,0,3,0,2,3,0,0,1,0.21,0.07,1.6,0.27,0,74,1.04,3.9,33,0,0
くり類日本ぐりゆで,152,58.4,3.5,0.6,36.7,1,460,23,45,72,0.7,0.6,0.37,1.07,0,0,0,0,3,0,0,0,0.17,0.08,1.7,0.26,0,76,1.06,0,26,0,0
くり類日本ぐり甘露煮,232,40.8,1.8,0.4,56.8,7,75,8,8,25,0.6,0.1,0.15,0.75,0,0,0,0,3,0,0,0,0.07,0.03,0.7,0.03,0,8,0.18,0,0,0,0
くり類中国ぐり甘ぐり,207,44.4,4.9,0.9,48.5,2,560,30,71,110,2,0.9,0.51,1.59,0,1,0,1,6,0,0.1,0,0.2,0.18,2.2,0.37,0,100,0.57,6,2,0,0
くるみいり,713,3.1,14.6,68.8,11.7,4,540,85,150,280,2.6,2.6,1.21,3.44,0,0,0,0,2,0,1.2,7,0.26,0.15,4.4,0.49,0,91,0.67,0,0,0,0
けし乾,555,3,19.3,49.1,21.8,4,700,1700,350,820,23,5.1,1.48,6.88,0,8,7,120,0,0,1.5,0,1.61,0.2,4.3,0.45,0,180,0.81,47,0,0,0
ココナッツココナッツパウダー,676,2.5,6.1,65.8,23.7,10,820,15,110,140,2.8,1.4,0.8,1.41,0,0,0,0,0,0,0,0,0.03,0.03,1.9,0.09,0,10,0.25,0,0,0,0
ごま乾,604,4.7,19.8,53.8,16.5,2,400,1200,370,540,9.6,5.5,1.66,2.24,0,10,4,92,1,0,0.1,7,0.95,0.25,11,0.6,0,93,0.56,12,0,0,0
ごまいり,605,1.6,20.3,54.2,18.5,2,410,1200,360,560,9.9,5.9,1.68,2.52,0,27,4,110,1,0,0.1,12,0.49,0.23,11,0.64,0,150,0.51,15,0,0,0
ごまむき,570,4.1,19.3,54.9,18.8,2,400,62,340,870,6,5.5,1.53,1.23,1,43,1,120,0,0,0.1,1,1.25,0.14,11,0.44,0,83,0.39,11,0,0,0
ごまねり,646,0.5,19,61,15.6,6,480,590,340,670,5.8,5.3,1.5,1.8,0,22,5,150,1,0,0.1,0,0.32,0.15,12,0.51,0,99,0.24,13,0,0,0
しい生,244,37.3,3.2,0.8,57.6,1,390,62,82,76,0.9,0.1,0.36,2.72,0,0,0,0,1,0,0.1,16,0.28,0.09,1.9,0.19,0,8,0.59,0,110,0,0
すいかいり味付け,528,5.9,29.6,46.4,13.4,580,640,70,410,620,5.3,3.9,1.49,1.43,24,11,1,90,1,0,0.6,1,0.1,0.16,7.6,0.71,0,120,1.04,9.1,0,0,1.5
チアシード乾,446,6.5,19.4,33.9,34.5,0,760,570,360,820,7.6,5.9,1.79,4.8,0,11,8,44,0,0,0.3,1,0.97,0.25,15,0.42,0,84,0.53,24,1,0,0
とち蒸し,148,58,1.7,1.9,34.2,250,1900,180,17,27,0.4,0.5,0.44,1.46,0,0,0,0,0,0,0,1,0,0,0.4,0,0,1,0,0,0,0,0.6
はす未熟生,81,77.5,5.9,0.5,14.9,2,410,53,57,190,0.6,0.8,0.22,1.33,0,0,0,0,0,0,0.6,1,0.18,0.09,2.8,0.16,0,230,0.85,0,27,0,0
はす成熟乾,327,11.2,18.3,2.3,64.3,6,1300,110,200,690,2.9,2.8,1.12,8.25,10,8,0,14,1,0,1,0,0.44,0.11,8.6,0.6,0,200,2.58,27,1,0,0
はす成熟ゆで,118,66.1,7.3,0.8,25,1,240,42,67,190,1.1,0.2,0.3,2.92,0,0,0,0,0,0,0.4,0,0.08,0.02,2.4,0.12,0,36,0.32,0,0,0,0
ひし類ひし生,183,51.8,5.8,0.5,40.6,5,430,45,84,150,1.1,1.3,0.06,0.6,0,0,0,2,1,0,1.6,2,0.42,0.08,3.1,0.32,0,430,0.71,11,12,0,0
ひし類とうびし生,122,64.3,2.7,0.4,31.4,13,470,27,49,140,0.7,0.9,0.07,0.35,0,1,0,2,0,0,1.4,1,0.25,0.03,3,0.18,0,110,0.36,8.7,7,0,0
ひし類とうびしゆで,120,65.5,2.7,0.3,30.5,12,410,25,45,130,0.5,0.8,0.05,0.27,0,1,0,1,0,0,1.2,0,0.19,0.03,2.7,0.12,0,71,0.37,7.3,5,0,0
ピスタチオいり味付け,617,2.2,17.4,56.1,20.9,270,970,120,120,440,3,2.5,1.15,0,0,0,0,0,10,0,1.4,29,0.43,0.24,5.5,1.22,0,59,1.06,0,0,0,0.7
ひまわりフライ味付け,603,2.6,20.1,56.3,17.2,250,750,81,390,830,3.6,5,1.81,2.33,0,95,1,28,1,0,12,0,1.72,0.25,11.7,1.18,0,280,1.66,80.1,0,0,0.6
ブラジルナッツフライ味付け,703,2.8,14.9,69.1,9.6,78,620,200,370,680,2.6,4,1.95,1.29,0,0,0,0,1,0,4.1,0,0.88,0.26,3.8,0.25,0,1,0.23,0,0,0,0.2
ヘーゼルナッツフライ味付け,701,1,13.6,69.3,13.9,35,610,130,160,320,3,2,1.64,5.24,0,1,1,6,0,0,18,4,0.26,0.28,4.2,0.39,0,54,1.07,82,0,0,0.1
ペカンフライ味付け,716,1.9,9.6,73.4,13.3,140,370,60,120,270,2.7,3.6,0.84,4.37,0,0,0,0,4,0,1.7,4,0.19,0.19,2.4,0.19,0,43,1.49,0,0,0,0.4
マカダミアナッツいり味付け,751,1.3,8.3,76.7,12.2,190,300,47,94,140,1.3,0.7,0.33,0,0,13,2,5,0,0,0,5,0.21,0.09,3.7,0.21,0,16,0.5,6.5,0,0,0.5
まつ生,681,2.5,15.8,68.2,10.6,2,730,14,290,680,5.6,6.9,1.44,9.78,0,0,0,0,0,0,11,1,0.63,0.13,6.3,0.17,0,79,0.59,0,0,0,0
まついり,724,1.9,14.6,72.5,8.1,4,620,15,250,550,6.2,6,1.3,0,0,0,0,0,0,0,12,27,0.61,0.21,6.1,0.1,0,73,0.42,0,0,0,0
らっかせい大粒種乾,572,6,25.2,47,19.4,2,740,49,170,380,1.6,2.3,0.59,1.56,1,20,4,88,1,0,11,0,0.41,0.1,24,0.49,0,76,2.56,92,0,0,0
らっかせい大粒種いり,613,1.7,25,49.6,21.3,2,760,50,200,390,1.7,3,0.69,2.15,1,2,0,96,1,0,10,0,0.24,0.13,28,0.46,0,58,2.2,110,0,0,0
らっかせい小粒種乾,573,6,25.4,47.5,18.8,2,740,50,170,380,1.6,2.3,0.59,1.56,1,20,4,88,1,0,10,0,0.85,0.1,22,0.46,0,76,2.56,92,0,0,0
らっかせい小粒種いり,607,2.1,26.5,49.4,19.6,2,770,50,200,390,1.7,3,0.69,0,0,0,0,0,1,0,11,0,0.23,0.1,22,0.46,0,57,2.19,0,0,0,0
らっかせいバターピーナッツ,609,2.4,23.3,53.2,18.3,120,700,50,190,380,2,3.1,0.64,2.81,1,5,1,68,0,0,1.9,0,0.2,0.1,21,0.48,0,98,2.42,96,0,0,0.3
らっかせいピーナッツバター,599,1.2,20.6,50.4,24.9,350,650,47,180,370,1.6,2.7,0.65,1.45,1,5,3,92,0,0,4.8,0,0.1,0.09,20,0.36,0,86,1.87,79,0,0,0.9
アーティチョーク花らい生,39,85.1,2.3,0.2,11.3,21,430,52,50,61,0.8,0.2,0.05,0.19,0,0,0,0,1,0,0.4,2,0.08,0.1,1.9,0.08,0,81,0.51,0,15,0,0.1
アーティチョーク花らいゆで,35,85.9,2.1,0.1,10.8,12,380,47,46,55,0.7,0.2,0.05,0.15,0,0,0,0,0,0,0.4,2,0.07,0.08,1.7,0.06,0,76,0.51,0,11,0,0
アイスプラント生,5,96.2,0.5,0.3,1.2,380,260,18,11,24,0.2,0.2,0.03,0.83,4,0,0,28,100,0,0.5,73,0.02,0.05,0.5,0.05,0,24,0.1,0.7,9,0,1
あさつき葉生,34,89,4.2,0.3,5.6,4,330,20,16,86,0.7,0.8,0.09,0.4,0,0,0,0,62,0,0.9,50,0.15,0.16,1.8,0.36,0,210,0.62,0,26,0,0
あさつき葉ゆで,41,87.3,4.2,0.3,7.3,4,330,21,17,85,0.7,0.8,0.09,0.43,0,0,0,0,60,0,0.9,43,0.17,0.15,1.7,0.27,0,200,0.55,0,27,0,0
あしたば茎葉生,30,88.6,3.3,0.1,6.7,60,540,65,26,65,1,0.6,0.16,1.05,0,0,0,0,440,0,2.6,500,0.1,0.24,2.2,0.16,0,100,0.92,0,41,0,0.2
あしたば茎葉ゆで,28,89.5,2.9,0.1,6.6,43,390,58,20,51,0.5,0.3,0.13,0.92,0,0,0,0,440,0,2.7,380,0.07,0.16,1.5,0.1,0,75,0.45,0,23,0,0.1
アスパラガス若茎生,21,92.6,2.6,0.2,3.9,2,270,19,9,60,0.7,0.5,0.1,0.19,1,0,0,2,31,0,1.5,43,0.14,0.15,1.4,0.12,0,190,0.59,1.8,15,0,0
アスパラガス若茎ゆで,25,92,2.6,0.1,4.6,2,260,19,12,61,0.6,0.6,0.13,0.23,0,0,0,0,30,0,1.6,46,0.14,0.14,1.5,0.08,0,180,0.54,0,16,0,0
アスパラガス若茎油いため,54,88.3,2.9,3.9,4.1,3,310,21,10,66,0.7,0.5,0.11,0.22,0,0,0,0,31,0,2,48,0.15,0.17,1.7,0.11,0,220,0.58,0,14,0,0
アスパラガス水煮缶詰,24,91.9,2.4,0.1,4.3,350,170,21,7,41,0.9,0.3,0.07,0.05,0,0,0,0,1,0,0.4,4,0.07,0.06,1.6,0.02,0,15,0.12,0,11,0,0.9
アロエ葉生,3,99,0,0.1,0.7,8,43,56,4,2,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.01,0,4,0.06,0,1,0,0
いんげんまめさやいんげん若ざや生,23,92.2,1.8,0.1,5.1,1,260,50,23,41,0.7,0.3,0.06,0.33,0,0,0,18,49,0,0.2,60,0.06,0.11,0.9,0.07,0,50,0.17,4.5,8,0,0
いんげんまめさやいんげん若ざやゆで,24,91.7,1.8,0.2,5.5,1,270,53,22,43,0.7,0.3,0.06,0.34,0,0,0,20,48,0,0.2,51,0.06,0.1,0.8,0.07,0,53,0.16,4.2,6,0,0
うど類うど茎生,19,94.4,0.8,0.1,4.3,0,220,7,9,25,0.2,0.1,0.05,0.04,0,0,0,0,0,0,0.2,2,0.02,0.01,0.7,0.04,0,19,0.12,0.5,4,0,0
うど類うど茎水さらし,13,95.7,0.6,0,3.4,0,200,6,8,23,0.1,0.1,0.04,0.03,0,0,0,0,0,0,0.1,2,0.01,0.02,0.6,0.03,0,19,0.08,0,3,0,0
うど類やまうど茎生,19,93.9,1.1,0.1,4.3,1,270,11,13,31,0.3,0.2,0.06,0.09,0,0,0,0,0,0,0.2,3,0.03,0.02,0.8,0.05,0,20,0.13,0,5,0,0
うるい葉生,19,92.8,1.9,0.4,4,1,390,40,14,52,0.5,0.5,0.09,0.79,1,1,0,4,160,0,1.3,160,0.09,0.12,1,0.1,0,120,0.31,3.1,50,0,0
えだまめ生,125,71.7,11.7,6.2,8.8,1,590,58,62,170,2.7,1.4,0.41,0.71,0,1,1,240,22,0,0.8,30,0.31,0.15,4.2,0.15,0,320,0.53,11,27,0,0
えだまめゆで,118,72.1,11.5,6.1,8.9,2,490,76,72,170,2.5,1.3,0.36,0.74,0,0,0,0,24,0,0.6,33,0.24,0.13,3.5,0.08,0,260,0.45,0,15,0,0
えだまめ冷凍,143,67.1,13,7.6,10.6,5,650,76,76,190,2.5,1.4,0.42,1.12,2,2,0,190,15,0,1.2,28,0.28,0.13,4.5,0.14,0,310,0.51,9.2,27,0,0
